SITE	LATITUDE	LONGITUDE	DATE	HEURE	COEF_MAREE	MAREE	PROF_TEXT	T (Température)	qT	S (Salinité)	qS	O (Oxygène)	qO	PH (pH)	qPH	NH4 (Ammonium)	qNH4	NO3 (Nitrates)	qNO3	NO2 (Nitrites)	qNO2	PO4 (Phosphates)	qPO4	SIOH4 (Sillicates)	qSIOH4	COP (Carbone Organique Particulaire)	qCOP	NOP (Azote Organique Particulaire)	qNOP	MES (Matière En Suspension)	qMES	CHLA (Chlorophylle-a)	qCHLA	DN15 (Delta N15)	qDN15	DC13 (Delta C13)	qDC13	TBACC (TotBac cells/mL)	qTBACC	TBACSSC (TotBac FL verte/1µm)	qTBACSSC	TBACFLV (TotBac FL verte/1µm)	qTBACFLV	HNABACC (HNABac cells/mL)	qHNABACC	HNABACSSC (HNABac SSC/1µm)	qHNABACSSC	HNABACFLV (HNABac FL verte /1µm)	qHNABACFLV	LNABACC (LNABac cells/mL)	qLNABACC	LNABACSSC (LNABac SSC/1µm)	qLNABACSSC	LNABACFLV (LNABac FL verte/1µm)	qLNABACFLV	CRYC (Cry cell/mL)	qCRYC	CRYSSC (Cry SSC/1µm)	qCRYSSC	CRYFLR (Cry FL rouge/1µm)	qCRYFLR	CRYFLO (Cry FL orange/1µm)	qCRYFLO	SYNC (Syn cell/mL)	qSYNC	SYNSSC (Syn SSC/1µm)	qSYNSSC	SYNFLR (Syn FL rouge/1µm)	qSYNFLR	SYNFLO (Syn FL orange/1µm)	qSYNFLO	PROC (Pro cell/mL)	qPROC	PROSSC (Pro SSC/1µm)	qPROSSC	PROFLR (Pro FL rouge/1µm)	qPROFLR	PICOEC (PicoE cell/mL)	qPICOEC	PICOESSC (PicoE SSC/1µm)	qPICOESSC	PICOEFLR (PicoE FL rouge/1µm)	qPICOEFLR	NANOEC (NanoE cell/mL)	qNANOEC	NANOESSC (NanoE SSC/1µm)	qNANOESSC	NANOEFLR (NanoE FL rouge/1µm)	qNANOEFLR
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-04-25	06:48:53	0	inc	S	15.954	2	38.044	2	5.84	6	999999.00	5	0.009	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.790	2	0.36	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-05-02	06:50:17	0	inc	S	15.880	2	38.014	2	5.88	6	999999.00	5	0.010	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	9.440	2	0.38	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-05-09	06:50:40	0	inc	S	16.633	2	38.019	2	5.88	6	999999.00	5	0.017	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	7.680	2	0.21	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-05-16	06:48:02	0	inc	S	17.525	2	37.972	2	5.79	6	999999.00	5	0.006	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.790	2	0.22	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-05-23	07:02:08	0	inc	S	19.434	2	38.008	2	5.77	6	999999.00	5	0.024	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	6.250	2	0.27	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-05-30	06:53:21	0	inc	S	21.265	2	37.913	2	5.54	6	999999.00	5	0.025	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	4.200	2	0.24	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-06-06	07:03:39	0	inc	S	22.888	2	38.009	2	5.26	6	999999.00	5	0.016	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.430	2	0.18	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-06-14	06:58:20	0	inc	S	22.988	2	38.083	2	5.21	6	999999.00	5	0.023	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	6.590	2	0.16	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-06-20	08:27:39	0	inc	S	23.981	7	38.032	7	5.21	6	999999.00	5	0.014	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.080	2	0.20	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-06-27	07:00:01	0	inc	S	24.463	2	38.087	2	5.09	6	999999.00	5	0.046	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.090	2	0.20	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-07-04	06:50:02	0	inc	S	21.162	2	38.149	2	5.44	6	999999.00	5	0.015	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	7.430	2	0.08	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-07-11	06:55:11	0	inc	S	24.944	2	38.210	2	5.07	6	999999.00	5	0.024	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.310	2	0.18	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-07-18	06:45:54	0	inc	S	25.607	2	38.252	2	5.03	6	999999.00	5	0.021	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.440	2	0.20	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-07-25	06:51:43	0	inc	S	24.910	2	38.281	2	4.95	6	999999.00	5	0.018	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	5.670	2	0.11	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-08-01	06:42:59	0	inc	S	26.006	2	38.340	2	4.90	6	999999.00	5	0.034	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	1.220	2	0.09	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-08-07	06:52:34	0	inc	S	26.635	2	38.323	2	4.82	6	999999.00	5	0.017	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	1.300	2	0.15	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-08-23	12:11:00	0	inc	S	25.194	7	38.251	7	4.88	6	999999.00	5	0.019	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	1.520	2	0.17	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-08-29	06:52:42	0	inc	S	25.839	2	37.274	2	4.86	6	999999.00	5	0.035	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.19	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-09-05	06:49:59	0	inc	S	21.416	2	38.043	2	4.77	3	999999.00	5	0.019	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.12	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-09-13	06:57:47	0	inc	S	22.083	2	37.973	2	5.18	6	999999.00	5	0.017	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.14	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-09-19	06:54:30	0	inc	S	17.789	2	37.736	2	5.68	6	999999.00	5	0.055	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.31	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-09-26	07:48:24	0	inc	S	21.515	2	38.157	2	5.22	6	999999.00	5	0.059	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	999999.00	1	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-10-03	07:02:12	0	inc	S	21.048	2	38.164	2	5.23	6	999999.00	5	0.011	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.30	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-10-10	06:55:25	0	inc	S	20.161	2	38.259	2	5.35	6	999999.00	5	0.012	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.25	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-10-17	07:04:53	0	inc	S	20.204	2	38.243	2	5.32	6	999999.00	5	0.012	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.20	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-10-24	06:49:51	0	inc	S	19.989	2	38.303	2	5.34	6	999999.00	5	0.009	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.16	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-10-31	07:50:00	0	inc	S	19.539	2	38.283	2	5.34	2	999999.00	5	0.007	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.18	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2017-11-07	08:05:00	0	inc	S	18.872	2	38.210	2	5.35	6	999999.00	5	0.037	6	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.000	5	999999.000	5	999999.000	5	0.23	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
