SITE	LATITUDE	LONGITUDE	DATE	HEURE	COEF_MAREE	MAREE	PROF_TEXT	T (Température)	qT	S (Salinité)	qS	O (Oxygène)	qO	PH (pH)	qPH	NH4 (Ammonium)	qNH4	NO3 (Nitrates)	qNO3	NO2 (Nitrites)	qNO2	PO4 (Phosphates)	qPO4	SIOH4 (Sillicates)	qSIOH4	COP (Carbone Organique Particulaire)	qCOP	NOP (Azote Organique Particulaire)	qNOP	MES (Matière En Suspension)	qMES	CHLA (Chlorophylle-a)	qCHLA	DN15 (Delta N15)	qDN15	DC13 (Delta C13)	qDC13	TBACC (TotBac cells/mL)	qTBACC	TBACSSC (TotBac FL verte/1µm)	qTBACSSC	TBACFLV (TotBac FL verte/1µm)	qTBACFLV	HNABACC (HNABac cells/mL)	qHNABACC	HNABACSSC (HNABac SSC/1µm)	qHNABACSSC	HNABACFLV (HNABac FL verte /1µm)	qHNABACFLV	LNABACC (LNABac cells/mL)	qLNABACC	LNABACSSC (LNABac SSC/1µm)	qLNABACSSC	LNABACFLV (LNABac FL verte/1µm)	qLNABACFLV	CRYC (Cry cell/mL)	qCRYC	CRYSSC (Cry SSC/1µm)	qCRYSSC	CRYFLR (Cry FL rouge/1µm)	qCRYFLR	CRYFLO (Cry FL orange/1µm)	qCRYFLO	SYNC (Syn cell/mL)	qSYNC	SYNSSC (Syn SSC/1µm)	qSYNSSC	SYNFLR (Syn FL rouge/1µm)	qSYNFLR	SYNFLO (Syn FL orange/1µm)	qSYNFLO	PROC (Pro cell/mL)	qPROC	PROSSC (Pro SSC/1µm)	qPROSSC	PROFLR (Pro FL rouge/1µm)	qPROFLR	PICOEC (PicoE cell/mL)	qPICOEC	PICOESSC (PicoE SSC/1µm)	qPICOESSC	PICOEFLR (PicoE FL rouge/1µm)	qPICOEFLR	NANOEC (NanoE cell/mL)	qNANOEC	NANOESSC (NanoE SSC/1µm)	qNANOESSC	NANOEFLR (NanoE FL rouge/1µm)	qNANOEFLR
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-05-03	07:04:14	0	inc	S	15.820	2	38.099	2	5.82	6	8.10	7	0.042	6	0.08	2	0.01	2	0.07	2	1.31	2	93.277	2	14.260	2	8.340	2	0.16	2	2.390	2	-25.220	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-05-10	07:20:32	0	inc	S	16.451	2	38.045	2	5.69	6	8.09	7	0.166	6	0.30	2	0.02	2	0.06	2	1.40	2	101.767	2	13.180	2	8.740	2	0.20	2	2.010	2	-27.310	2	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-05-17	06:58:44	0	inc	S	17.894	2	38.043	2	5.76	6	8.05	7	0.025	6	0.22	2	0.03	2	0.05	2	0.89	2	131.097	2	16.050	2	8.620	2	0.41	2	2.070	2	-24.490	2	999999.00	5	999999.00	5	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-05-24	07:03:12	0	inc	S	17.255	2	38.071	2	5.68	6	8.09	7	0.016	6	0.41	2	0.01	2	0.10	2	1.18	2	88.167	2	14.980	2	8.820	2	0.23	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-06-01	07:34:35	0	inc	S	17.560	2	38.077	2	5.41	6	8.07	7	0.057	6	0.32	2	0.03	2	0.08	2	1.42	2	122.597	2	13.180	2	7.240	2	0.27	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-06-07	07:13:01	0	inc	S	20.266	2	38.036	2	5.43	6	8.01	7	0.055	6	0.33	2	0.03	2	0.08	2	0.88	2	999999.000	4	999999.000	4	6.760	2	0.25	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-06-14	06:38:47	0	inc	S	21.711	2	37.945	2	5.35	6	8.00	7	0.024	6	0.21	2	0.05	2	0.06	2	1.34	2	90.267	2	13.360	2	8.250	2	0.22	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-06-21	06:43:55	0	inc	S	18.911	2	37.970	2	5.54	6	8.06	7	0.026	6	0.32	2	0.01	2	0.07	2	1.04	2	84.077	2	13.360	2	8.330	2	0.17	2	999999.000	5	999999.000	5	999999.00	5	999999.00	5	999999.00	9	999999.00	9	999999.00	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-06-28	06:59:04	0	inc	S	22.840	2	37.993	2	5.35	6	8.00	7	0.051	6	0.25	2	0.02	2	0.07	2	0.84	2	78.257	2	14.620	2	9.640	2	0.17	2	999999.000	9	999999.000	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
Point B (Somlit Id:12)	43:41:00 N	7:19:00 E	2016-07-05	06:58:24	0	inc	S	24.204	2	37.672	2	5.20	6	7.97	7	0.038	6	0.25	2	0.06	2	0.08	2	1.52	2	106.497	2	17.130	2	9.180	2	0.29	2	999999.000	9	999999.000	9	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5	999999.00	5
